iter	Passed	Remaining
484	667	708
485	668	707
486	670	705
487	671	704
488	672	702
489	685	713
490	687	712
491	688	710
492	689	709
493	701	718
494	703	717
495	704	715
496	705	713
497	708	713
498	711	713
499	712	712
500	713	710
501	714	708
502	716	708
503	717	706
504	718	704
505	719	702
506	721	701
507	728	705
508	729	703
509	730	701
510	731	699
511	732	698
512	733	696
513	734	694
514	735	692
515	743	697
516	744	695
517	745	694
518	747	692
519	748	690
520	749	688
521	750	687
522	751	685
523	762	692
524	764	691
525	767	691
526	768	689
527	773	691
528	774	689
529	775	688
530	776	686
531	777	684
532	778	682
533	779	680
534	780	678
535	780	675
536	781	674
537	782	672
538	783	670
539	785	669
540	788	668
541	790	667
542	792	666
543	793	665
544	794	663
545	795	661
546	796	659
547	797	658
548	798	656
549	802	656
550	804	655
551	806	654
552	807	653
553	809	651
554	812	651
555	813	649
556	817	649
557	818	648
558	820	647
559	839	659
560	840	657
561	843	657
562	844	655
563	845	653
564	849	654
565	851	652
566	853	651
567	855	650
568	856	648
569	857	646
570	858	645
571	860	643
572	862	642
573	869	645
574	870	643
575	872	642
576	873	640
577	874	638
578	875	636
579	877	635
580	878	633
581	879	631
582	880	629
583	881	628
584	883	626
585	884	624
586	885	622
587	886	621
588	887	619
589	888	617
590	891	617
591	893	615
592	894	613
593	895	612
594	896	610
595	897	608
596	898	606
597	899	604
598	900	603
599	901	601
600	902	599
601	904	597
602	905	596
603	909	596
604	910	594
605	911	592
606	913	591
607	913	589
608	914	587
609	915	585
610	917	583
611	918	582
612	919	580
613	921	579
614	922	577
615	923	575
616	924	573
617	924	571
618	925	569
619	926	568
620	927	566
621	929	564
622	930	562
623	931	561
624	932	559
625	933	557
626	934	555
627	936	554
628	938	553
629	939	551
630	940	549
631	941	547
632	942	546
633	943	544
634	944	542
635	945	541
636	946	539
637	947	537
638	948	536
639	950	534
640	951	533
641	952	531
642	953	529
643	954	527
644	955	525
645	956	524
646	957	522
647	958	520
648	959	519
649	960	517
650	961	515
651	962	513
652	964	512
653	966	511
654	967	509
655	968	507
656	969	506
657	970	504
658	971	502
659	972	500
660	973	499
661	974	497
662	975	496
663	976	494
664	978	492
665	981	492
666	982	490
667	983	488
668	984	487
669	985	485
670	986	483
671	987	482
672	988	480
673	990	478
674	991	477
675	992	475
676	996	475
677	997	473
678	998	472
679	1002	471
680	1003	470
681	1005	468
682	1006	467
683	1013	468
684	1014	466
685	1016	465
686	1019	464
687	1020	462
688	1022	461
689	1023	459
690	1026	459
691	1027	457
692	1029	455
693	1030	454
694	1031	452
695	1032	450
696	1033	449
697	1034	447
698	1035	446
699	1037	444
700	1038	442
701	1042	442
702	1045	441
703	1046	439
704	1047	438
705	1048	436
706	1050	435
707	1051	433
708	1052	431
709	1057	431
710	1058	430
711	1059	428
712	1060	426
713	1061	425
714	1063	423
715	1069	424
716	1071	422
717	1072	421
718	1073	419
719	1074	417
720	1075	416
721	1076	414
722	1077	412
723	1078	411
724	1081	410
725	1082	408
726	1084	407
727	1086	405
728	1088	404
729	1090	403
730	1091	401
731	1092	399
732	1093	398
733	1096	397
734	1100	396
735	1101	395
736	1102	393
737	1103	391
